"exposure","outcome","method","nsnp","beta","se","pval","Q","Q_pval","egger_intercept","egger_intercept_pval","ci_lo","ci_hi","or","or_lo","or_hi"
"Salad/raw vegetable intake","eGFR (log-transformed)","MR-Egger",15,0.108740464148431,0.0867389115375032,0.209968294442465,NA,NA,-0.000905853648784212,0.324484296748668,-0.0612678024650754,0.278748730761937,1.114872963286,0.940571318727242,1.32147525606885
"Salad/raw vegetable intake","eGFR (log-transformed)","Weighted Mode",15,0.0185379449177171,0.00674112734689308,0.00595994543559493,NA,NA,NA,NA,0.00532533531780663,0.0317505545176275,1.01871083933518,1.00533954011985,1.03225998059847
"Dried fruit intake","eGFR (log-transformed)","IVW",38,0.00792026169170479,0.00527324591566188,0.133104635203084,76.3000115922216,0.000152607100566806,NA,NA,-0.0024153003029925,0.0182558236864021,1.00795170993562,0.997587614187855,1.01842347991584
"Dried fruit intake","eGFR (log-transformed)","Weighted Median",38,0.00713211357714334,0.0100611845038633,0.478402580111764,NA,NA,NA,NA,-0.0125878080504287,0.0268520352047154,1.00715760767207,0.9874910870197,1.0272157997427
"Dried fruit intake","eGFR (log-transformed)","MR-Egger",38,-0.04917186189687,0.0342816138609027,0.151472166733969,NA,NA,0.000700370070626696,0.0881158499092215,-0.116363825064239,0.0180201012704992,0.95201750010464,0.89015130502052,1.0181834429649
"Dried fruit intake","eGFR (log-transformed)","Weighted Mode",38,0.0203318075348904,0.0134632583490323,0.131000076668157,NA,NA,NA,NA,-0.00605617882921293,0.0467197938989937,1.02053990668486,0.993962122857059,1.04782836004116
"Tea intake","eGFR (log-transformed)","IVW",37,0.0162123455483662,0.00381780080662222,2.17121972281036e-05,133.518580311142,3.95595617254114e-13,NA,NA,0.00872945596738665,0.0236952351293458,1.01634447871957,1.00876766877955,1.02397819774842
"Tea intake","eGFR (log-transformed)","Weighted Median",37,0.00842113285194429,0.0159636780024879,0.597833686869991,NA,NA,NA,NA,-0.022867676032932,0.0397099417368205,1.00845669033254,0.977391807578127,1.04050892220638
"Tea intake","eGFR (log-transformed)","MR-Egger",37,0.0647399113818493,0.0191227325008262,0.000710500564973691,NA,NA,-0.00089073513507816,0.00665028561236559,0.0272593556802299,0.102220467083469,1.06688150455963,1.02763429099495,1.1076276402468
"Tea intake","eGFR (log-transformed)","Weighted Mode",37,0.00646024360460251,0.0117788887960399,0.583376422473064,NA,NA,NA,NA,-0.0166263784356357,0.0295468656448407,1.00648115598709,0.983511076944929,1.02998770537877
"Oily fish intake","eGFR (log-transformed)","IVW",52,0.000370992201176111,0.00385498273683333,0.92333229855208,154.862486144664,2.10181475898776e-12,NA,NA,-0.00718477396301722,0.00792675836536944,1.00037106102729,0.992840974822128,1.00795825829022
"Oily fish intake","eGFR (log-transformed)","Weighted Median",52,0.0102071407157847,0.00778456642418391,0.189789455204193,NA,NA,NA,NA,-0.0050506094756158,0.0254648909071851,1.0102594112695,0.99496212340713,1.02579189101551
"Oily fish intake","eGFR (log-transformed)","MR-Egger",52,0.0409764322022655,0.0277711486434059,0.140077177892113,NA,NA,-0.000601463425996247,0.132128883473303,-0.01345501913881,0.095407883543341,1.04182755167513,0.986635095015883,1.1001074793634
"Oily fish intake","eGFR (log-transformed)","Weighted Mode",52,0.00611542634340875,0.00660481314083593,0.354495601918423,NA,NA,NA,NA,-0.00683000741262966,0.0190608600994472,1.00613416373934,0.993193264076376,1.01924367800144
"Processed meat intake","eGFR (log-transformed)","IVW",18,-0.0125183401619465,0.0067474437735887,0.0635574652370698,22.7414960529321,0.157857047974333,NA,NA,-0.0257433299581803,0.000706649634287388,0.987559688323176,0.974585204334051,1.00070689936996
"Processed meat intake","eGFR (log-transformed)","Weighted Median",18,-0.00816491686958532,0.00911507684308799,0.370381213252031,NA,NA,NA,NA,-0.0260304674820378,0.00970063374286714,0.991868325528826,0.974305404524125,1.00974783740204
"Processed meat intake","eGFR (log-transformed)","MR-Egger",18,0.0210790208852631,0.037526066955442,0.574309010908256,NA,NA,-0.000499001028123544,0.359919454634261,-0.0524720703474032,0.0946301121179295,1.02130275269659,0.948880822597441,1.09925217985794
"Processed meat intake","eGFR (log-transformed)","Weighted Mode",18,-0.0091616109174974,0.0126376718944511,0.46848607040671,NA,NA,NA,NA,-0.0339314478306216,0.0156082259956268,0.990880228769336,0.966637767482214,1.01573067057308
